modality,modality_idx,depth,val_rmse,val_r2,val_spearman,val_pearson,time_seconds
PRS,0,1,0.0902978419994559,0.1942644715309143,0.4586564581768746,0.4645984,83.58388566970825
PRS,0,2,0.09080891383842385,0.1851179599761963,0.453623276856326,0.46376482,114.19225597381592
PRS,0,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,119.3569986820221
PRS,0,4,0.08992988665905585,0.20081764459609985,0.4639999141237555,0.46470463,158.5832326412201
PRS,0,5,0.08886692026119083,0.21959853172302246,0.46614225571778,0.47569403,191.45383644104004
SCZ15,1,1,0.08930459684991895,0.21189260482788086,0.47552916083399677,0.4729002,148.52624440193176
SCZ15,1,2,0.08874939353325982,0.22166144847869873,0.47162235746571696,0.47477865,158.38032293319702
SCZ15,1,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,118.7452883720398
SCZ15,1,4,0.08906049454254833,0.21619510650634766,0.4628057902511689,0.47548223,168.16841912269592
SCZ15,1,5,0.08970720343030289,0.20477062463760376,0.4568307239188091,0.4664468,129.12306141853333
ADHD9,2,1,0.08899079100409185,0.21742147207260132,0.47113780667045807,0.47935203,110.33669304847717
ADHD9,2,2,0.09139964719709204,0.17448151111602783,0.42398138294405485,0.43696463,72.89156341552734
ADHD9,2,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,116.89767026901245
ADHD9,2,4,0.08994508294657984,0.20054751634597778,0.44956108286649504,0.45754743,95.22219848632812
ADHD9,2,5,0.08941775897190056,0.209894061088562,0.45957692455745947,0.47045898,157.2272653579712
ASD9,3,1,0.08956353919317464,0.20731568336486816,0.4579734824799791,0.4631049,109.16886186599731
ASD9,3,2,0.08911418648929996,0.2152496576309204,0.46908617762366406,0.46982482,162.62972784042358
ASD9,3,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,117.73612952232361
ASD9,3,4,0.09048499481998055,0.19092106819152832,0.4365325601157887,0.44627434,87.22074604034424
ASD9,3,5,0.08888063748201401,0.2193576693534851,0.46805794259792083,0.4731147,190.63198161125183
ACE15,4,1,0.09014458668467366,0.19699710607528687,0.44425362485566994,0.4541598,119.21226000785828
ACE15,4,2,0.09066103227146016,0.1877698302268982,0.4351919677058806,0.45042887,114.80295848846436
ACE15,4,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,118.41261577606201
ACE15,4,4,0.08963608583950099,0.2060309648513794,0.4690138158616629,0.46816993,95.76399779319763
ACE15,4,5,0.09005018029078408,0.19867819547653198,0.4623161451428325,0.472261,134.6114821434021
ACE18,5,1,0.087663484162654,0.2405918836593628,0.48989112706907717,0.49244946,143.65920877456665
ACE18,5,2,0.08890854219119876,0.21886742115020752,0.4595791198967967,0.47276807,155.8470060825348
ACE18,5,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,118.5929012298584
ACE18,5,4,0.08974647957736524,0.20407414436340332,0.4556072725643068,0.46735695,199.7445285320282
ACE18,5,5,0.09109488380210731,0.17997747659683228,0.438608928948191,0.44851795,107.60699892044067
SUD18,6,1,0.08767383382499323,0.24041253328323364,0.4888058132205652,0.492308,143.3258810043335
SUD18,6,2,0.08890263405940234,0.21897125244140625,0.4587493660634423,0.4726896,153.24445843696594
SUD18,6,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,115.89078497886658
SUD18,6,4,0.08976297790468916,0.20378148555755615,0.45550285321890654,0.46697968,195.66561675071716
SUD18,6,5,0.09119373890468396,0.17819684743881226,0.437089303800792,0.4466293,105.41656160354614
SES,7,1,0.08766233678073938,0.240611732006073,0.4895428843303609,0.49245858,140.6537470817566
SES,7,2,0.08893471552094884,0.21840745210647583,0.45895904911552643,0.4724393,152.6962239742279
SES,7,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,116.28523588180542
SES,7,4,0.0898200760624496,0.2027682065963745,0.45516539015924373,0.46650118,195.68930435180664
SES,7,5,0.09115487689611247,0.17889708280563354,0.43770501204876394,0.44771305,105.42146635055542
SEX,8,1,0.08952856755523927,0.20793455839157104,0.46189863663348824,0.46505532,109.44402432441711
SEX,8,2,0.08928506193178143,0.21223729848861694,0.46727507896118015,0.4669198,152.7794005870819
SEX,8,3,0.08992915137320621,0.20083075761795044,0.46175593957656663,0.46852648,116.08440899848938
SEX,8,4,0.09050499106180201,0.1905633807182312,0.46667490696082575,0.4533063,110.77125215530396
SEX,8,5,0.08869585876612471,0.22260016202926636,0.4792010910385661,0.4784724,113.9454071521759
