edf,Ref.df,F,p_value,Variable,significance
1.0001387267258857,1.0002492626955248,0.030286849469219772,0.862,s(PRS_Amygdala_excitatory),
2.1002095605093696,2.595618309087689,2.1819608765063925,0.0755,s(PRS_Cerebellar_inhibitory),.
2.6665368167366874,3.2960480636717193,1.4314204081798996,0.2,s(PRS_CGE_interneuron),
1.0000461240402343,1.0000832225679552,0.22292300332815643,0.637,s(PRS_Deep_layer_corticothalamic),
2.0871692086393754,2.5819568111106115,1.0098358274294863,0.32,s(PRS_Deep_layer_intratelencepha),
1.000128288609216,1.0002323006886347,1.3527344311325789,0.245,s(PRS_Eccentric_medium_spiny_neu),
1.0000726976707053,1.0001305303537609,0.21497136677877995,0.643,s(PRS_Hippocampal_CA1_3),
1.7118420702593262,2.0928737480024036,1.2158105757847053,0.312,s(PRS_Hippocampal_CA4),
1.5194554366561575,1.8327853054835268,0.5462548692509965,0.64,s(PRS_Hippocampal_dentate_gyrus),
1.000105229133747,1.00018989641587,0.278576545183848,0.598,s(PRS_LAMP5_LHX6_and_Chandelier),
1.0001014284775585,1.0001839324398407,0.9697778716797352,0.325,s(PRS_Medium_spiny_neuron),
1.000106967137762,1.0001941938724543,0.27240152962117103,0.602,s(PRS_MGE_interneuron),
1.0001070787912711,1.0001927457839668,0.30882107578265355,0.579,s(PRS_Miscellaneous),
2.2500604044497936,2.7932734062044173,1.249309578995167,0.337,s(PRS_Thalamic_excitatory),
1.0000941738324547,1.0001688291942834,3.49592308961974,0.0616,s(PRS_Upper_layer_intratelenceph),.
1.0001352574205784,1.0002464499138852,6.4991675043154755,0.0109,s(PRS_all),*
385.14994573345376,2012,0.24403386938743796,0,s(cmpair),***
