Model;RMSE;pearson_r;pearson_p;spearman_rho;spearman_p
LarsCV;0.0841;0.5482;1.0838e-81;0.5256;0.0000
LassoLarsIC;0.0841;0.5483;9.6734e-82;0.5260;0.0000
LassoLarsCV;0.0842;0.5482;1.0409e-81;0.5259;0.0000
ElasticNetCV;0.0842;0.5482;1.0770e-81;0.5258;0.0000
LassoCV;0.0842;0.5482;1.0471e-81;0.5259;0.0000
BayesianRidge;0.0845;0.5423;1.1956e-79;0.5229;0.0000
HuberRegressor;0.0850;0.5373;6.0988e-78;0.5130;0.0000
RidgeCV;0.0850;0.5326;2.1362e-76;0.5105;0.0000
KernelRidge;0.0851;0.5324;2.5231e-76;0.5059;0.0000
Ridge;0.0853;0.5283;5.6127e-75;0.5053;0.0000
LinearRegression;0.0854;0.5273;1.1840e-74;0.5040;0.0000
Lars;0.0854;0.5277;9.3641e-75;0.5044;0.0000
TransformedTargetRegressor;0.0854;0.5273;1.1840e-74;0.5040;0.0000
GradientBoostingRegressor;0.0861;0.5152;9.3413e-71;0.4867;0.0000
OrthogonalMatchingPursuit;0.0863;0.5128;5.0557e-70;0.4907;0.0000
OrthogonalMatchingPursuitCV;0.0863;0.5128;5.0557e-70;0.4907;0.0000
RandomForestRegressor;0.0865;0.5103;3.1083e-69;0.4794;0.0000
ExtraTreesRegressor;0.0870;0.5009;2.1402e-66;0.4753;0.0000
TweedieRegressor;0.0877;0.5136;2.8287e-70;0.4957;0.0000
SGDRegressor;0.0880;0.5299;1.7903e-75;0.4978;0.0000
LGBMRegressor;0.0882;0.4841;1.6125e-61;0.4501;0.0000
HistGradientBoostingRegressor;0.0886;0.4767;1.9579e-59;0.4475;0.0000
NuSVR;0.0902;0.4741;1.0118e-58;0.4384;0.0000
SVR;0.0905;0.4453;3.2251e-51;0.4032;0.0000
BaggingRegressor;0.0925;0.4165;2.1775e-44;0.3757;0.0000
PoissonRegressor;0.0941;0.4839;1.8617e-61;0.4743;0.0000
AdaBoostRegressor;0.0978;0.4208;2.1908e-45;0.3955;0.0000
KNeighborsRegressor;0.0978;0.3597;9.3990e-33;0.3349;0.0000
Lasso;0.1005;nan;nan;nan;nan
QuantileRegressor;0.1005;nan;nan;nan;nan
ElasticNet;0.1005;nan;nan;nan;nan
DummyRegressor;0.1005;nan;nan;nan;nan
LassoLars;0.1005;nan;nan;nan;nan
PassiveAggressiveRegressor;0.1067;0.4728;2.2095e-58;0.4290;0.0000
LinearSVR;0.1091;0.5107;2.3329e-69;0.4846;0.0000
MLPRegressor;0.1099;0.3239;1.5475e-26;0.3153;0.0000
ExtraTreeRegressor;0.1232;0.2835;1.8839e-20;0.2728;0.0000
DecisionTreeRegressor;0.1261;0.2360;1.7601e-14;0.2210;0.0000
GaussianProcessRegressor;0.1635;-0.2610;1.7775e-17;-0.3397;0.0000
RANSACRegressor;0.2981;0.1208;1.0381e-04;0.1157;0.0002
