Model;Adjusted R-Squared;R-Squared;RMSE;Time Taken
LassoLarsIC;0.17337684622948135;0.25789041112325395;0.1494260243684913;0.10440993309020996
LarsCV;0.17080973214871942;0.25558575758628943;0.14965786900912526;0.06104922294616699
LassoLarsCV;0.17080973214871942;0.25558575758628943;0.14965786900912526;0.06190228462219238
LassoCV;0.1704756059071485;0.25528579225549264;0.1496880186544151;0.05238628387451172
ElasticNetCV;0.17044014011351816;0.25525395246802696;0.14969121852874906;0.049385786056518555
BayesianRidge;0.16913369785361732;0.25408108025417253;0.14980904365969405;0.06889581680297852
OrthogonalMatchingPursuitCV;0.16364047183863073;0.24914947909953022;0.15030345486319957;0.017306089401245117
OrthogonalMatchingPursuit;0.16364047183863073;0.24914947909953022;0.15030345486319957;0.011138200759887695
RidgeCV;0.16055590502187456;0.24638027695245213;0.15058036589934495;0.04746675491333008
Ridge;0.16023884367987273;0.24609563181386818;0.1506088006133587;0.010555744171142578
LinearRegression;0.16020305327717255;0.24606350060521232;0.15061201003317468;0.030979156494140625
TransformedTargetRegressor;0.16020305327717255;0.24606350060521232;0.15061201003317468;0.030205488204956055
Lars;0.16020305327717232;0.2460635006052121;0.1506120100331747;0.02313685417175293
TweedieRegressor;0.1539299690060174;0.24043177353802148;0.15117348148914464;0.21950912475585938
HuberRegressor;0.14891817312639222;0.23593238132671235;0.15162056737244387;0.02874755859375
GradientBoostingRegressor;0.13865474466736238;0.22671828099640512;0.15253204460864736;1.4938158988952637
LGBMRegressor;0.12403222449628648;0.21359076045333603;0.15382131645010136;0.18172407150268555
PoissonRegressor;0.09571618065047627;0.18816973569594853;0.1562877140025144;0.2219085693359375
HistGradientBoostingRegressor;0.09339866099863237;0.18608915817014515;0.15648785475154534;0.31539201736450195
RandomForestRegressor;0.08998598989360829;0.18302539696388198;0.1567821075475937;4.195181846618652
ExtraTreesRegressor;0.052558037734316554;0.14942406114025297;0.15997376524769702;2.6427435874938965
SVR;0.037214532281557355;0.13564926851372527;0.16126392359642447;0.3299844264984131
LinearSVR;0.021588876390582934;0.12162117237791381;0.16256728385519223;0.4172039031982422
BaggingRegressor;0.0031436844169263622;0.10506180821071676;0.16409250361204358;0.4314112663269043
NuSVR;0.0001551258892561469;0.10237879851012088;0.16433829281981657;1.1754968166351318
DummyRegressor;-0.11441752921245052;-0.0004800018830373176;0.17349878038082203;0.008679628372192383
LassoLars;-0.11441752921245052;-0.0004800018830373176;0.17349878038082203;0.012212038040161133
ElasticNet;-0.11441752921245052;-0.0004800018830373176;0.17349878038082203;0.009242057800292969
Lasso;-0.11441752921245052;-0.0004800018830373176;0.17349878038082203;0.0120086669921875
AdaBoostRegressor;-0.11455033588789632;-0.0005992304660569214;0.17350911811742997;0.5786898136138916
QuantileRegressor;-0.14200602834017584;-0.025247865754276733;0.1756332173719124;0.34372520446777344
KNeighborsRegressor;-0.16341157266079764;-0.04446491722809687;0.1772715935131042;0.017207622528076172
PassiveAggressiveRegressor;-0.26123922417429424;-0.1322907153736117;0.18457428436856574;0.013149261474609375
ExtraTreeRegressor;-0.6810468953932807;-0.509177446497181;0.21308965848343356;0.04408526420593262
DecisionTreeRegressor;-0.7117358478242797;-0.5367287747750593;0.21502592859471903;0.08638381958007812
MLPRegressor;-1.6649846176171326;-1.3925178358743877;0.2682994684123283;1.160639762878418
KernelRidge;-1.917487785306272;-1.619205197714102;0.2807223443788462;0.18279290199279785
GaussianProcessRegressor;-2.240573601402442;-1.9092588709766813;0.2958580590611316;0.7215909957885742
RANSACRegressor;-4.202185229255859;-3.6703162428178207;0.3748567751812417;0.2104184627532959
SGDRegressor;-18.995789925018286;-16.95142970873112;0.7349228348732278;0.01580667495727539
